song_title
Teardrops on My Guitar (Pop Version)
Should've Said No (Alternate Version)
Teardrops On My Guitar (Acoustic)
Picture To Burn (Radio Edit)
Forever & Always (Piano Version)
Forever & Always (Piano Version) [Taylor's Version]
Back To December (Acoustic)
Haunted (Acoustic Version)
Mine (Pop Mix)
Treacherous (Original Demo Recording)
Red (Original Demo Recording)
State Of Grace (Acoustic Version)
State Of Grace (Acoustic Version) (Taylor’s Version)
I Know Places (Voice Memo)
I Wish You Would (Voice Memo)
Blank Space (Voice Memo)
A Message From Taylor
Carolina (Video Version)
Christmas Tree Farm (Recorded Live at the 2019 iHeartRadio Jingle Ball)
Love Story (Taylor's Version) [Elvira Remix]
